Tweet,Sentiment
Polri Pastikan Tak Ada Kebocoran Data Anggota - FBINEWS https://t.co/63ZqktxvDI,negative
"Saat ini, Pemerintah sedang dibuat kelimpungan oleh sosok É??hacker bertopengÉ?ù bernama Bjorka. Faktanya, kasus kebocoran data tidak terjadi kali ini saja. Kebocoran kecil menyangkut data pribadi, diakui oleh Menkominfo, terjadi setiap detik. https://t.co/K7nMc3qlEW
#IslamKaffah",negative
Kebocoran data bisa digunakan kriminal sebagai data dasar untuk melakukan kejahatan. https://t.co/a4u0ScSKaE,negative
@adan_asar @foritaeyong Ini kok bisa gini ya? Apa karena kebocoran data?,negative
"Kemanan data di negeri kita emg bnr"" tdk aman, kebocoran data sering terjdi, &amp; negara spt lepas tanggung jwb,paslnya mrk bilang ini data umum bkn rhasia

#IslamKaffah",negative
"Hack bjorka berhasil meretas bbrpa data para pejbat
Kebocoran data ini teruss berkali"" trjd
dugaan dta yg bcr diprjualblikn di forum hacker. Konsmn utmny adlh pra pbisns &amp; pihk yh berkecimbung d dunia pltik
#IslamKaffah 
Lbh jls ada sni ????
https://t.co/jE0xWoAAqo",negative
Kebocoran data pribadi akhir-akhir ini marak terjadi. Mengarahkan telunjuk hanya kepada terduga pelaku yang membocorkannya adalah sesuatu yang naif. Institusi yang menyimpan data tersebut juga harus bertanggung jawab.,negative
"Bocor Data, di Mana Perlindungan Negara?
Kebocoran data pribadi sampai  negara sangat berbahaya bagi negeri ini.
#IslamKaffah https://t.co/ebO3IosY0X",negative
Polri Pastikan Tak Ada Kebocoran Data Anggota https://t.co/Z3M18CSIOE,negative
Polri Pastikan Tak Ada Kebocoran Data?ˇAnggota https://t.co/uthWZ4wYvP,negative
Atau ini ada kaitannya ga sih sama kebocoran data kapan hari ? Sumpah aku takut bgt kalo smpe data2 kyk gitu disalah gunain sama orang2 yg ga ada hati nuraninya,negative
"Faktanya, kasus kebocoran data tidak terjadi kali ini saja. Kebocoran kecil menyangkut data pribadi, diakui oleh Menkominfo, terjadi setiap detik.
https://t.co/ZAhYX4SQvF
#IslamKaffah",negative
"Memasuki awal bulan September, masyarakat dikejutkan dengan banyaknya berita hangat yang terjadi di Indonesia, salah satunya kebocoran data. 

Berita ini membawa keresahan dan protes massa yang merasa dirugikan serta takut terdampak akibat dari kejadian ini. https://t.co/5wbga0jZ4a",negative
"@hyang_wisnu @PlateJohnny Semoga setelah ini tidak akan ada lagi kasus kebocoran data.
@kemkominfo @PlateJohnny",negative
Cak Imin Minta BSSN Serius Antisipasi Kebocoran Data https://t.co/mii0orgWxk,negative
@traggot99 itu malah bukan scammernya menurut gw -_- gampang banget korban percaya foto KTP yg dapet dari google ato kebocoran data,negative
"@OposisiCerdas Receh amat pak .. lapor hal sepele... 
hal sepele dibesar..besarkan...

Lapor tuh kebocoran data milik rakyat Indonesia gimana pertanggung jawabannya.",negative
"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi Walaupun @kemkominfo tidak menyebabkan kebocoran data, tapi pastinya Kominfo melakukan penulusuran lebih lanjut. @PlateJohnny",negative
"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @1nvisible5 @ZilaAr_ @216yussuf @45d3nn_ Sudah jelas bahwa kebocoran data tersebut bukan berasal dari @kemkominfo. 
@PlateJohnny",negative
"@foritaeyong Yakin ini KTP yang bersangkutan? Ga curiga ini imbas kebocoran/jual beli data berupa identitas (KTP) yang salah satunya digunakan seperti ini, buat nipu orang?",negative
"kebocoran data akibat ulah Bjorka sungguh masif. Kemanakah kasus FS? Apakah ini pengalihan isu? Simak video serba serbi MMC berikut ini. #Islamkaffah
https://t.co/D9vBSv6P4Z https://t.co/2xmTf0qrtB",negative
"Bjorka | Kasus FS | Serba-serbi MMC
negara dlm sistem Islam adlh melindungi keamanan warganya, termsk keamanan perlindungan data.akan menjadi pihak terdepan dlm menyelesaikan kebocoran data, selain dpt merugikn pemiliknya, jg dpt mengganggu stabilitas keamanan negara
#Islamkaffah",negative
"Mengeluh jadi korban kebocoran data, tapi diri sendiri masih tidak bisa menjaga privasi pesan singkat dari orang lain.",negative
"Simak! Palo Alto Beberkan Persoalan Kebocoran Data Beserta Langkah Pengamanan

https://t.co/mH1KpQTIJI",negative
"@wonugariskeras Inilah yg gw takutkan dr kebocoran data. Orang mungkin gaakan nyuri duit gw karena ga seberapa jg, tp kalo data gw dipake buat tindak kriminal kan babi",negative
Kebocoran Data Lawas Dijual?ˇKembali https://t.co/d9SwI6koJv,negative
"Apa ini ada hubungannya dgn kebocoran data kita ya ?? Takut bangetttt, sampe sempat yakin kalo itu beneran call centre yg nelpon ! Hati hati ya guys !!",negative
"2. Remisi bagi koruptor, kasus Sambo, isu kenaikan BBM yang berakibat pada kenaikan harga kebutuhan pokok, kasus kebocoran data dan kasus di Papua dikhawatirkan dimanfaatkan oleh kelompok tertentu untuk membuat kekacauan.

Yth
@jokowi
@mohmahfudmd
@Jend_DudungAR
@ListyoSigitP
???? https://t.co/FtOY4AJvOK",negative
"@foritaeyong Apa ga curiga, dengan dia ngasih ktp seenteng itu, yakin itu ktp nya dia?
Terlebih lg marak kebocoran data.",negative
"Tak Ada Kebocoran Rahasia Negara, Mahfud MD Nilai Hacker Bjorka Cuma Ngarang Data Incarannya https://t.co/bDA4gv0KsM",negative
@ApeAstronautz @NovalAssegaf polri dah ngaku2 ada kebocoran 25 juta data pegawai aja ????????,negative
Cak Imin Minta BSSN Lebih Serius Tangani Kebocoran Data https://t.co/N7WlqXsbeb,negative
@homecreditid Logikanya dimana? Saya gak daftar disuruh verifikasi. Saya gak ngutang tapi ditelpon tiap hari kayak dikejar debt collector. Saya muslim. Ngutang pakai riba haram.  Dapat data saya darimana?? Dari kebocoran data kah? https://t.co/Rq9nnOYJye,negative
"Khilafah akan menjadi pihak terdepan dalam menyelesaikan kebocoran data. Apalagi data rahasia negara, dengan teknologi terdepannya, Khilafah akan mampu menciptaka

Baca: Ramai Memburu Bjorka, Kasus Sambo Jangan Sampai Lepa

#Opini

https://t.co/taaO2HEV3N

https://t.co/pnA9UtzEuH",negative
@detikcom jangan kebanyakkan ngide lah mending beresin dulu keamanan dari kebocoran data,negative
"Sampai hari ini orang masih pada rame bahas kebocoran data, data kependudukan dibobol hacker. But, wait!! 
Apa kita sudah peduli dengan data kita sendiri? 
Apakah orang sudah peduli terhadap data orang lain?",negative
"@Mzarifprayugo Hai, Kak Zarif. Maaf jadi ga nyaman. Arel infoin, Telkomsel selalu menjaga data pribadi pelanggan ya. Arel pastiin bahwa kebocoran data tersebut bukan berasal dari sistem yang dikelola Telkomsel ya. Tks???? -Arel",negative
"Heboh Data Warga Bocor, Berikut Deretan Kasus Kebocoran Data di?ˇIndonesia https://t.co/qWrMao3EDK",negative
@hyang_wisnu @DPR_RI @BSSN_RI @jokowi @PlateJohnny semoga kedepannya tidak ada lagi kebocoran data. @PlateJohnny @kemkominfo,negative
Cak Imin Minta BSSN Serius Tangani Data Bocor: Begitu Mudah Diobok-obok Hacker: Ketum PKB Muhaimin Iskandar (Cak Imin) mendorong Badan Siber dan Sandi Negara (BSSN) lebih serius menangani masalah kebocoran data. #kumparanNews https://t.co/FoGQXh34Cy,negative
Bentuk preventif kebocoran data https://t.co/whbPt5KuvV,negative
"Khilafah akan menjadi pihak terdepan dalam menyelesaikan kebocoran data. Apalagi data rahasia negara, dengan teknologi terdepannya, Khilafah akan mampu menciptakan sistem keamanan tercanggih yang tidak mudah diretas.

#Opini

https://t.co/1wyFkbFOdG https://t.co/L19TBwH2us",negative
BSSN didorong untuk lebih serius menangani masalah kebocoran data https://t.co/ypdnl9qG2a,negative
"@hyang_wisnu @PlateJohnny @kemkominfo memang harus ada sanksi tegas seperti itu, agar tidak dianggap enteng masalah kebocoran data. @PlateJohnny @kemkominfo",negative
"dear @kemkominfo sebenernya saya mau maki maki kalian. tapi saya di sini cuma mau nunjukkin akibat kebocoran data kalian. bisa diliat ya sehari bisa ada berapa telfon. hampir setiap hari ditelfon nomor yg reportedly as spam, scam dll. https://t.co/U7zwmR9yHF",negative
"Khilafah akan menjadi pihak terdepan dalam menyelesaikan kebocoran data. Apalagi data rahasia negara, dengan teknologi terdepannya, Khilafah akan mampu menciptakan sistem keamanan tercanggih yang tidak mudah diretas.

#Opini

https://t.co/LfEKVLiOh2 https://t.co/SHb8lXkVml",negative
"@Rosyid_Alfatih @AyankLukman @ChusnulCh__ Kau bilang banyak, berapa? Banyaklah di medsoos, di berita , dll diberitakan, banyaklah???Å. Disana , disini ???Å. LBP ditanya, jawabnya Adalah,( berapa?), 800. (Ha !! 800 khan banyak). Iya tapi dari 73.000 desa??",negative
@detikcom Rkyt gak takut kehilangan dokumen penting.. tp penyalahgunaan data2 pribadi akibat kebocoran data,negative
"Banyaknya kebocoran data yang terjadi akhir akhir ini menjadi salah satu motivasi utama disahkannya UU ini #kitapunyapdp
Manfaat UU PDP https://t.co/eMWV28Zoly",negative
"@ciloqciliq Barangnya udah sampe rumau belum kacil?

Adek aku juga 2x dapet ancaman ginian, tapi sampe sekarang gak dateng itu paketnya. Yang iseng ngandelin kebocoran data keknya. Serem. :*)",negative
"Perlu #Japfriend ketahui juga, kebocoran data pribadi pun dapat meningkatkan ketidakpercayaan publik (public distrust) dan dapat berdampak pada pembangunan sektor ekonomi digital yang saat ini bertumbuh dan berkembang dengan cepat. https://t.co/9TFZWcInbC",negative
"Jangan Remehkan Kebocoran Data, Dampaknya dari Tak Bisa Kuliah Sampai Penipuan Pajak https://t.co/O6vcl25ijH https://t.co/y8oFvRzYtB",negative
@IMCMushroom Yg penting jangan sampai ada kecurangan dlm penghitungan suara..apa lagi br2 ini ada kebocoran data ktp yg dilakukan bjorka..sangat riskan jadinya?,negative
@wan_almawardi7 Sementara kebocoran data sendiri gak ada yg tanggung jawab ..,negative
Lembaga PDP Harus Galak dan Tegas Jika Ada Kebocoran Data https://t.co/TnloVok4ri,negative
Bukan BJORKA yang menyebabkan kebocoran data .. https://t.co/P2z9PEHSAc,negative
ini kenapa jadi banyak vishing tu apa gara - gara kebocoran data kah? annoying banget,negative
"@hyang_wisnu @kemkominfo Semoga tidak akan ada lagi kasus kebocoran data nantinya.
@kemkominfo @PlateJohnny",negative
@itscnv @AREAJULID Lah pikiran kyk gini yg bikin pejabat kita enteng bgt kalo ada kebocoran data,negative
"@henrysubiakto berisik banget chebby satu ini.
mana speak up mu soal kebocoran data bung? diem diem bae. giliran kemaren PSE aja dibela sampe muncrat -muncrat",negative
"@hyang_wisnu @PlateJohnny @Aryprasetyo85 @kemkominfo @miicies @Marbot_Udien @zhymme @03__nakula @DS_yantie @delArdian_ Awal yang baik dlm menyelesaikan permasalahan kebocoran data
@PlateJohnny 
@kemkominfo",negative
"Awas hati-hati !!
Pemerintah Terbitkan Payung Hukum Untuk satgas Penanganan Kebocoran Data Pribadi .
#JokowiHebat
#JokowiPresidenku
#JokowiBapakInfrastruktur
#PembangunanUntukRakyat
ACEH https://t.co/bQtR2KUffm",negative
"@CNNIndonesia Faktanya, kebocoran data ada kan? Trus data di pedulli lindungi yg hilang itu gmn? Dan klo gk ada apa2nya ngapain Presiden bentuk tim khusus?

Dan tanggung jawab pemerintah apa? Malah lempar2an tanggung jawab dan suruh masyarakat ganti passw",negative
"Akun fb lama kena rentas dan banyak bikin komentar aneh, makasih banyak kebocoran data",negative
"efek kebocoran data kayaknya udah kerasa langsung. Barusan aja ada yg nelpon, ngaku dari @BANKBRI_ID. nyebut nama saya, tau alamat pengiriman kartu &amp; tempat kerja saya. bilang bisa naikin limit kartu kredit @tokopedia card saya tapi minta disebutin data yg ada di kartu???",negative
"Harusnya diakui dulu, bener ga kalo kebocoran itu terjadi?, Datanya valid ga ? Pemerintah udah check datanya belum ? Katanya datanya data biasa saja... Dagelan bener https://t.co/kshpaC8I5N",negative
7 Alasan Penyebab Kebocoran Data Sering?ˇTerjadi! https://t.co/tEpUmVRQB5,negative
"@mohmahfudmd WOI Pk MAHFUD BOOMER, JANGAN BIKIN STATEMENT BODOH MENGENAI KEBOCORAN DATA!!!, KAU JANGAN MEMPENGARUHI ORANG DENGAN STATEMENT KEBOCORAN DATA ITU. KEBOCORAN DATA MERUPAKAN SUATU HAL YANG SANGAT BERBAHAYA BAGI DATA RAKYAT!!",negative
"semenjak kebocoran data itu, jadi sering ditelponin nomer gajelas zzz",negative
"@detikcom Lihat orang dalam nya, kebocoran data mungkin saja ada orang dalam yang terlibat , betapa lemahnya kita duh",negative
"@empatdotexe @Indostransfer @pt_lib gak vote juga ga rugi, hadiah juga belum tentu dapet, rejeki gak akan kemana, yang ada malah kemungkinan kebocoran data",negative
"@asumsico yg seharusnya juga diminta mempertanggungjawabkan kebocoran data itu, k/l atau badan yg datanya bocor. gimana sih LBH Digitek.
ada yg mudah malah nyari yg susah dulu.",negative
@VIVAcoid Presiden bertanggung jawab pada rakyat. Jadi kemarin kebocoran data tanggung jawab presiden. Tapi sekalinya bilang salah Jokowi dibilang kdrone sama ebonk.,negative
kebocoran data yg lain ga mau nih? https://t.co/l3kLsHy6GS,negative
"Pemimpin yg kehilangan akalnya ketika menteri2nya sdah jalan sendiri2, baru sadar ketika bjorka membuka kebocoran pejabat2 negara. Kali ini kebocoran data itu valid hingga ketakutan melanda istana. Solusi hanya satu turunkn BBM agar damai negeriku https://t.co/gs5Ig9I1kr",negative
"@JmJovial @detikcom Alah lu mah pling juga baru taunya pas kasus ini viral doang, emang lu tau data NIK sama no. Telpon pak menkominfo dari kapan? Dia kontakan ama lu gitu? Yang lama itu cuma kasus kebocoran data massal aja saty",negative
"penyebar kebocoran data

bjorka Éù?
tukang ciken É?? https://t.co/x6u4zf3rXi",negative
"Ancaman Serius Kebocoran Data di Indonesia
 https://t.co/IF8IdWrqU3 via @hariankompas",negative
"denial claim tipikal orang udah ketauan selengki tuh bisa dibaca gasi polanya? jadi males ngurusin. mending ngurusin BBM naik, inflasi, bubble tech, potensi resesi, &amp; kebocoran data pribadi yang mungkin data pribadi gua udah dijual tapi gue ga kebagian apa-apa.",negative
Ngga ntn attorney woo sampe habis sih. Jdi ga tau yg harus tanggung jawab sama kebocoran data ya lembaga/perusahaan yg pegang data. https://t.co/rqR2RH6prO,negative
"semoga aja bukan peretasbaik lagi yg jadi sasaran nya..

kalo gak salah omongan nya kemarin perusahaan yg gagal melindungi data customer / yg mengalamin kebocoran data, bakal kena denda.

trus yg doxing kena denda. tapi lom baca mana bagian pasal buat perusahaan https://t.co/sb3ZIopwCT",negative
"@R_sei_ Thisssss. Anggeplah berhadapan sama dispenduk dan kebocoran data KTP. Kalo ada kebocoran gini nuntutnya alot juga, kita gabisa request digapus sebagai WNI wkwkwkwk.",negative
"https://t.co/pp7WShkUCu

Isi UU Perlindungan Data Pribadi: Larangan, Sanksi dan Jenis Data

udh kena hacker baru keluarkan UU , padahal kebocoran data pendududk sdh  terjadi di th 2021 ...salah satu institusi negara main sebar data penduduk ntah kemana ??? 

????É?çÉ??ã?è????É?çÉ??ã?è????É?çÉ??ã?è????É?çÉ??ã?è",negative
"Jadi inget epsido di pengacara woo ????
Sampe mau bangkrut si perusahaan karena tuntutan pengadilan. Di sini malah yang mau diadili si hacker ????
Harusnya masyarakat kita bisa nyewa jasa pengacara buat nuntut pemerintah ganti kerugian kebocoran data kayak di drakor tadi ???? https://t.co/OCZg2QEHQe",negative
"@ismailfahmi Kalau inget bjorka inget kasus woo young woo soal kebocoran data, masalahnya ini pemerintahnya yang kecolongan masa denda diri sendiri ????",negative
Pekan ini warga di Australia sedang khawatir dengan kebocoran data yang diretas dari salah satu perusahaan penyedia layanan telekomunikasi terbesar #Peretas,neutral
"@mouldie_sep @zuuliaa kmren ada yg call jg dan kagetnya dia ud tahu alamat dan bberapa data diri nama lengkap dll trs ancem mau kirim tagian cc ke alamat rmh kalo gak mau ikutin yang dia mau, inikah efek kebocoran data ?",neutral
"Fenomena kebocoran data munculnya sosok ""Bjorka"" netizen bertanya siapa sosok yang berhasil membobol data pribadi para pejabat di Negeri ini.
https://t.co/WhN1aSxeW9",neutral
"Hacker Bjorka Kembali Berulah, Sebarkan Data Pribadi yang Diklaim Milik Kepala BSSN.

#hackerbjorka #Bjorka #kebocorandata #BSSN 

Selengkapnya&gt; https://t.co/QlYviWwGth https://t.co/eoqmoPtoHK",neutral
"Direktur LAIP Kemkominfo,Bambang Dwi Anggono :

É??Dengan teknologi,ASN sendiri bisa mengelola,tidak lagi tergantung pada orang lain.Jika terjadi kebocoran, segera bisa menangani masalahnya karena memang data itu tidak ternilai harganya,É?ù

@PlateJohnny 

https://t.co/ekO3H3sIKm",neutral
Hukuman Berat Kebocoran Data Pribadi di Australia https://t.co/YL2vR3wIif,neutral
"@kemkominfo lebih gacor ngurusin konten r18 dengan menyuruh Twitter meregion lock akun-akun artist nsfw ketimbang ngurusin kebocoran data.

#BlokirKominfo",neutral
"Dengan teknologi ini, harapannya ASN sendiri bisa mengelola (aplikasi layanan publik), tidak lagi tergantung pada orang lain.?ˇJika terjadi kebocoran, segera dapat mengatasi masalahnya krn memang data itu tdk bernilai harganya.
@kemkominfo
@PlateJohnny
https://t.co/iFyUbnHAy6",neutral
@TariRahayu07 Dengan di Sahkan PDP Maslah Terkait Kebocoran Data Bisa Menghilang,neutral
"Segi tata kelola data , 
Juga jadi sorotan utama dlm 
Pengejawantahan UU PDP 
Tidak hanya perlindungan dari kebocoran dan semacam nya

@PlateJohnny 
@kemkominfo 

https://t.co/gQzBFkPDUH",neutral
"Anggota Komisi XI DPR RI, Puteri Anetta Komarudin meminta agar pihak perbankan harus memperkuat perlindungan data nasabah. Hal tersebut karena persoalan kebocoran data kian marak terjadi di Indonesia.

#UUPDP https://t.co/J6c5PbwinN",neutral
"Kasus Kebocoran Data Masif, Perbankan Diminta Perkuat Perlindungan Informasi Nasabah https://t.co/8he7lEQQcF",neutral
"Semoga dengan adanya aturan UU PDP data pribadi lebih aman lagi dan tidak ada lagi kebocoran data pribadi 
#poinpentingpdp Aturan UU PDP https://t.co/aFwSysKCZ1",neutral
"@icharis https://t.co/WHLvYpWppE

Diantaranya Potensi KEBOCORAN Jutaan Data Guru, Dosen dan Siswa oleh pihak ketiga?",neutral
Kecekatan Puan Maharani yang bersama-sama pemerintah merealisasikan UU PDP dinilai menghadirkan rasa aman bagi warga Indonesia di tengah maraknya kasus-kasus kebocoran data. https://t.co/Y0gGtla9wh,neutral
Kecekatan Puan Maharani yang bersama-sama pemerintah merealisasikan UU PDP dinilai menghadirkan rasa aman bagi warga Indonesia di tengah maraknya kasus-kasus kebocoran data. https://t.co/4ocTYsMWPX,neutral
