Tweet,Sentiment,Casefolding,Cleansing,Tokenizing,Stopword,Stemming,Dataclean
"@idBigData Saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal. ????

Semoga dengan tahu cara pikir kriminal, kita bisa mengamankan diri sendiri, orang terdekat, dan publik dari para kriminal yg memanfaatkan kebocora",negative,"@idbigdata saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal. ????

semoga dengan tahu cara pikir kriminal, kita bisa mengamankan diri sendiri, orang terdekat, dan publik dari para kriminal yg memanfaatkan kebocora", saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal       semoga dengan tahu cara pikir kriminal  kita bisa mengamankan diri sendiri  orang terdekat  dan publik dari para kriminal yg memanfaatkan kebocora,"['saya', 'yakin', 'peserta', 'ndak', 'akan', 'jadi', 'kriminal', 'meski', 'diajarin', 'bagaimana', 'berpikir', 'jadi', 'kriminal', 'semoga', 'dengan', 'tahu', 'cara', 'pikir', 'kriminal', 'kita', 'bisa', 'mengamankan', 'diri', 'sendiri', 'orang', 'terdekat', 'dan', 'publik', 'dari', 'para', 'kriminal', 'yg', 'memanfaatkan', 'kebocora']","['peserta', 'ndak', 'kriminal', 'diajarin', 'berpikir', 'kriminal', 'semoga', 'pikir', 'kriminal', 'mengamankan', 'orang', 'terdekat', 'publik', 'kriminal', 'memanfaatkan', 'kebocora']","['serta', 'ndak', 'kriminal', 'diajarin', 'pikir', 'kriminal', 'moga', 'pikir', 'kriminal', 'aman', 'orang', 'dekat', 'publik', 'kriminal', 'manfaat', 'kebocora']","@ i d B i g D a t a   S a y a   y a k i n   p e s e r t a   n d a k   a k a n   j a d i   k r i m i n a l   m e s k i   d i a j a r i n   b a g a i m a n a   b e r p i k i r   j a d i   k r i m i n a l .   ? ? ? ? 
 
 S e m o g a   d e n g a n   t a h u   c a r a   p i k i r   k r i m i n a l ,   k i t a   b i s a   m e n g a m a n k a n   d i r i   s e n d i r i ,   o r a n g   t e r d e k a t ,   d a n   p u b l i k   d a r i   p a r a   k r i m i n a l   y g   m e m a n f a a t k a n   k e b o c o r a"
"Last, but not Least! 
Mas @ismailfahmi dari Drone Emprit dan Media Kernels Indonesia membahas mengenai ""Criminal Mind: Memanfaatkan Kebocoran Data melalui Big Data""

#KonferensiBigDataIndonesia2022 #KBI2022 #idBigdata #BigData #ngulikbigdata https://t.co/thiLRSGRwb",negative,"last, but not least! 
mas @ismailfahmi dari drone emprit dan media kernels indonesia membahas mengenai ""criminal mind: memanfaatkan kebocoran data melalui big data""

#konferensibigdataindonesia2022 #kbi2022 #idbigdata #bigdata #ngulikbigdata https://t.co/thilrsgrwb",last  but not least  mas dari drone emprit dan media kernels indonesia membahas mengenai  criminal mind  memanfaatkan kebocoran data melalui big data  konferensibigdataindonesia kbi idbigdata bigdata ngulikbigdata ,"['last', 'but', 'not', 'least', 'mas', 'dari', 'drone', 'emprit', 'dan', 'media', 'kernels', 'indonesia', 'membahas', 'mengenai', 'criminal', 'mind', 'memanfaatkan', 'kebocoran', 'data', 'melalui', 'big', 'data', 'konferensibigdataindonesia', 'kbi', 'idbigdata', 'bigdata', 'ngulikbigdata']","['last', 'but', 'not', 'least', 'mas', 'drone', 'emprit', 'media', 'kernels', 'indonesia', 'membahas', 'criminal', 'mind', 'memanfaatkan', 'kebocoran', 'data', 'big', 'data', 'konferensibigdataindonesia', 'kbi', 'idbigdata', 'bigdata', 'ngulikbigdata']","['last', 'but', 'not', 'least', 'mas', 'drone', 'emprit', 'media', 'kernels', 'indonesia', 'bahas', 'criminal', 'mind', 'manfaat', 'bocor', 'data', 'big', 'data', 'konferensibigdataindonesia', 'kbi', 'idbigdata', 'bigdata', 'ngulikbigdata']","L a s t ,   b u t   n o t   L e a s t !   
 M a s   @ i s m a i l f a h m i   d a r i   D r o n e   E m p r i t   d a n   M e d i a   K e r n e l s   I n d o n e s i a   m e m b a h a s   m e n g e n a i   "" C r i m i n a l   M i n d :   M e m a n f a a t k a n   K e b o c o r a n   D a t a   m e l a l u i   B i g   D a t a "" 
 
 # K o n f e r e n s i B i g D a t a I n d o n e s i a 2 0 2 2   # K B I 2 0 2 2   # i d B i g d a t a   # B i g D a t a   # n g u l i k b i g d a t a   h t t p s : / / t . c o / t h i L R S G R w b"
"Meresahkan sekali kebocoran data  dan spam di WhatsApp, tiap hari ada aja yg diblokir https://t.co/tyC8tHKDjG",negative,"meresahkan sekali kebocoran data  dan spam di whatsapp, tiap hari ada aja yg diblokir https://t.co/tyc8thkdjg",meresahkan sekali kebocoran data dan spam di whatsapp  tiap hari ada aja yg diblokir ,"['meresahkan', 'sekali', 'kebocoran', 'data', 'dan', 'spam', 'di', 'whatsapp', 'tiap', 'hari', 'ada', 'aja', 'yg', 'diblokir']","['meresahkan', 'kebocoran', 'data', 'spam', 'whatsapp', 'diblokir']","['resah', 'bocor', 'data', 'spam', 'whatsapp', 'blokir']","M e r e s a h k a n   s e k a l i   k e b o c o r a n   d a t a     d a n   s p a m   d i   W h a t s A p p ,   t i a p   h a r i   a d a   a j a   y g   d i b l o k i r   h t t p s : / / t . c o / t y C 8 t H K D j G"
@CNNIndonesia Jadi isu kebocoran data gegara ulah Bjorka selamaini cuma prank bwat keluarin anggaran BSSN?? jadi database kita selamaini ternyata aman2 aja gitu? nggada yg ngehack? ????????????,negative,@cnnindonesia jadi isu kebocoran data gegara ulah bjorka selamaini cuma prank bwat keluarin anggaran bssn?? jadi database kita selamaini ternyata aman2 aja gitu? nggada yg ngehack? ????????????, jadi isu kebocoran data gegara ulah bjorka selamaini cuma prank bwat keluarin anggaran bssn   jadi database kita selamaini ternyata aman aja gitu  nggada yg ngehack              ,"['jadi', 'isu', 'kebocoran', 'data', 'gegara', 'ulah', 'bjorka', 'selamaini', 'cuma', 'prank', 'bwat', 'keluarin', 'anggaran', 'bssn', 'jadi', 'database', 'kita', 'selamaini', 'ternyata', 'aman', 'aja', 'gitu', 'nggada', 'yg', 'ngehack']","['isu', 'kebocoran', 'data', 'gegara', 'ulah', 'bjorka', 'selamaini', 'prank', 'bwat', 'keluarin', 'anggaran', 'bssn', 'database', 'selamaini', 'aman', 'gitu', 'nggada', 'ngehack']","['isu', 'bocor', 'data', 'gegara', 'ulah', 'bjorka', 'selamaini', 'prank', 'bwat', 'keluarin', 'anggar', 'bssn', 'database', 'selamaini', 'aman', 'gitu', 'nggada', 'ngehack']",@ C N N I n d o n e s i a   J a d i   i s u   k e b o c o r a n   d a t a   g e g a r a   u l a h   B j o r k a   s e l a m a i n i   c u m a   p r a n k   b w a t   k e l u a r i n   a n g g a r a n   B S S N ? ?   j a d i   d a t a b a s e   k i t a   s e l a m a i n i   t e r n y a t a   a m a n 2   a j a   g i t u ?   n g g a d a   y g   n g e h a c k ?   ? ? ? ? ? ? ? ? ? ? ? ?
@karirfess karena kebocoran data yg sering terjadi dimana mana kack,negative,@karirfess karena kebocoran data yg sering terjadi dimana mana kack, karena kebocoran data yg sering terjadi dimana mana kack,"['karena', 'kebocoran', 'data', 'yg', 'sering', 'terjadi', 'dimana', 'mana', 'kack']","['kebocoran', 'data', 'dimana', 'kack']","['bocor', 'data', 'mana', 'kack']",@ k a r i r f e s s   k a r e n a   k e b o c o r a n   d a t a   y g   s e r i n g   t e r j a d i   d i m a n a   m a n a   k a c k
"Pertanyaannya, e-KTP aja belum bisa dimanfaatkan sebagaimana ""elektronik"" kok malah bikin proyek baru KTP Digital? Gak takut kebocoran data lagi? Apa urgensinya? Apa roadmap kedepannya dengan adanya KTP Digital? Apakah e-KTP tidak bisa menyelesaikan masalah seperti KTP Digital?",negative,"pertanyaannya, e-ktp aja belum bisa dimanfaatkan sebagaimana ""elektronik"" kok malah bikin proyek baru ktp digital? gak takut kebocoran data lagi? apa urgensinya? apa roadmap kedepannya dengan adanya ktp digital? apakah e-ktp tidak bisa menyelesaikan masalah seperti ktp digital?",pertanyaannya  e ktp aja belum bisa dimanfaatkan sebagaimana  elektronik  kok malah bikin proyek baru ktp digital  gak takut kebocoran data lagi  apa urgensinya  apa roadmap kedepannya dengan adanya ktp digital  apakah e ktp tidak bisa menyelesaikan masalah seperti ktp digital ,"['pertanyaannya', 'e', 'ktp', 'aja', 'belum', 'bisa', 'dimanfaatkan', 'sebagaimana', 'elektronik', 'kok', 'malah', 'bikin', 'proyek', 'baru', 'ktp', 'digital', 'gak', 'takut', 'kebocoran', 'data', 'lagi', 'apa', 'urgensinya', 'apa', 'roadmap', 'kedepannya', 'dengan', 'adanya', 'ktp', 'digital', 'apakah', 'e', 'ktp', 'tidak', 'bisa', 'menyelesaikan', 'masalah', 'seperti', 'ktp', 'digital']","['pertanyaannya', 'e', 'ktp', 'dimanfaatkan', 'elektronik', 'proyek', 'ktp', 'digital', 'takut', 'kebocoran', 'data', 'urgensinya', 'roadmap', 'kedepannya', 'ktp', 'digital', 'e', 'ktp', 'menyelesaikan', 'ktp', 'digital']","['tanya', 'e', 'ktp', 'manfaat', 'elektronik', 'proyek', 'ktp', 'digital', 'takut', 'bocor', 'data', 'urgensi', 'roadmap', 'depan', 'ktp', 'digital', 'e', 'ktp', 'selesai', 'ktp', 'digital']","P e r t a n y a a n n y a ,   e - K T P   a j a   b e l u m   b i s a   d i m a n f a a t k a n   s e b a g a i m a n a   "" e l e k t r o n i k ""   k o k   m a l a h   b i k i n   p r o y e k   b a r u   K T P   D i g i t a l ?   G a k   t a k u t   k e b o c o r a n   d a t a   l a g i ?   A p a   u r g e n s i n y a ?   A p a   r o a d m a p   k e d e p a n n y a   d e n g a n   a d a n y a   K T P   D i g i t a l ?   A p a k a h   e - K T P   t i d a k   b i s a   m e n y e l e s a i k a n   m a s a l a h   s e p e r t i   K T P   D i g i t a l ?"
Kebocoran data is real bosku https://t.co/IDUu2APiym,negative,kebocoran data is real bosku https://t.co/iduu2apiym,kebocoran data is real bosku ,"['kebocoran', 'data', 'is', 'real', 'bosku']","['kebocoran', 'data', 'is', 'real', 'bosku']","['bocor', 'data', 'is', 'real', 'bos']",K e b o c o r a n   d a t a   i s   r e a l   b o s k u   h t t p s : / / t . c o / I D U u 2 A P i y m
"Jangan mudah terprovokasi oleh isu kebocoran data pribadi, bersikaplah tenang dan jangan saling menyalahkan. https://t.co/f2bUJSzmys",negative,"jangan mudah terprovokasi oleh isu kebocoran data pribadi, bersikaplah tenang dan jangan saling menyalahkan. https://t.co/f2bujszmys",jangan mudah terprovokasi oleh isu kebocoran data pribadi  bersikaplah tenang dan jangan saling menyalahkan  ,"['jangan', 'mudah', 'terprovokasi', 'oleh', 'isu', 'kebocoran', 'data', 'pribadi', 'bersikaplah', 'tenang', 'dan', 'jangan', 'saling', 'menyalahkan']","['mudah', 'terprovokasi', 'isu', 'kebocoran', 'data', 'pribadi', 'bersikaplah', 'tenang', 'menyalahkan']","['mudah', 'provokasi', 'isu', 'bocor', 'data', 'pribadi', 'sikap', 'tenang', 'salah']","J a n g a n   m u d a h   t e r p r o v o k a s i   o l e h   i s u   k e b o c o r a n   d a t a   p r i b a d i ,   b e r s i k a p l a h   t e n a n g   d a n   j a n g a n   s a l i n g   m e n y a l a h k a n .   h t t p s : / / t . c o / f 2 b U J S z m y s"
"Netizen tertipu oleh permainan rezim, issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran, berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran, rupanya ini dilakukan sebagai trik untuk menaikkan anggaran",negative,"netizen tertipu oleh permainan rezim, issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran, berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran, rupanya ini dilakukan sebagai trik untuk menaikkan anggaran",netizen tertipu oleh permainan rezim  issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran  berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran  rupanya ini dilakukan sebagai trik untuk menaikkan anggaran,"['netizen', 'tertipu', 'oleh', 'permainan', 'rezim', 'issue', 'bejorka', 'dimunculkan', 'ternyata', 'untuk', 'mengeluarkan', 'dan', 'menaikan', 'anggaran', 'berawal', 'dari', 'kominfo', 'yg', 'mengakui', 'ada', 'kebocoran', 'data', 'hingga', 'milyaran', 'rupanya', 'ini', 'dilakukan', 'sebagai', 'trik', 'untuk', 'menaikkan', 'anggaran']","['netizen', 'tertipu', 'permainan', 'rezim', 'issue', 'bejorka', 'dimunculkan', 'mengeluarkan', 'menaikan', 'anggaran', 'kominfo', 'mengakui', 'kebocoran', 'data', 'milyaran', 'trik', 'menaikkan', 'anggaran']","['netizen', 'tipu', 'main', 'rezim', 'issue', 'bejorka', 'muncul', 'keluar', 'naik', 'anggar', 'kominfo', 'aku', 'bocor', 'data', 'milyaran', 'trik', 'naik', 'anggar']","N e t i z e n   t e r t i p u   o l e h   p e r m a i n a n   r e z i m ,   i s s u e   b e j o r k a   d i m u n c u l k a n   t e r n y a t a   u n t u k   m e n g e l u a r k a n   d a n   m e n a i k a n   a n g g a r a n ,   b e r a w a l   d a r i   k o m i n f o   y g   m e n g a k u i   a d a   k e b o c o r a n   d a t a   h i n g g a   m i l y a r a n ,   r u p a n y a   i n i   d i l a k u k a n   s e b a g a i   t r i k   u n t u k   m e n a i k k a n   a n g g a r a n"
@CNNIndonesia BPKB elektronik....trus kebocoran data...trus dipake ngutang orang????,negative,@cnnindonesia bpkb elektronik....trus kebocoran data...trus dipake ngutang orang????, bpkb elektronik    trus kebocoran data   trus dipake ngutang orang    ,"['bpkb', 'elektronik', 'trus', 'kebocoran', 'data', 'trus', 'dipake', 'ngutang', 'orang']","['bpkb', 'elektronik', 'trus', 'kebocoran', 'data', 'trus', 'dipake', 'ngutang', 'orang']","['bpkb', 'elektronik', 'trus', 'bocor', 'data', 'trus', 'dipake', 'ngutang', 'orang']",@ C N N I n d o n e s i a   B P K B   e l e k t r o n i k . . . . t r u s   k e b o c o r a n   d a t a . . . t r u s   d i p a k e   n g u t a n g   o r a n g ? ? ? ?
