Tweet,Sentiment,Casefolding,Cleansing,Tokenizing,Stopword,Stemming,Dataclean
"@idBigData Saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal. ????

Semoga dengan tahu cara pikir kriminal, kita bisa mengamankan diri sendiri, orang terdekat, dan publik dari para kriminal yg memanfaatkan kebocora",negative,"@idbigdata saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal. ????

semoga dengan tahu cara pikir kriminal, kita bisa mengamankan diri sendiri, orang terdekat, dan publik dari para kriminal yg memanfaatkan kebocora", saya yakin peserta ndak akan jadi kriminal meski diajarin bagaimana berpikir jadi kriminal       semoga dengan tahu cara pikir kriminal  kita bisa mengamankan diri sendiri  orang terdekat  dan publik dari para kriminal yg memanfaatkan kebocora,"['saya', 'yakin', 'peserta', 'ndak', 'akan', 'jadi', 'kriminal', 'meski', 'diajarin', 'bagaimana', 'berpikir', 'jadi', 'kriminal', 'semoga', 'dengan', 'tahu', 'cara', 'pikir', 'kriminal', 'kita', 'bisa', 'mengamankan', 'diri', 'sendiri', 'orang', 'terdekat', 'dan', 'publik', 'dari', 'para', 'kriminal', 'yg', 'memanfaatkan', 'kebocora']","['peserta', 'ndak', 'kriminal', 'diajarin', 'berpikir', 'kriminal', 'semoga', 'pikir', 'kriminal', 'mengamankan', 'orang', 'terdekat', 'publik', 'kriminal', 'memanfaatkan', 'kebocora']","['serta', 'ndak', 'kriminal', 'diajarin', 'pikir', 'kriminal', 'moga', 'pikir', 'kriminal', 'aman', 'orang', 'dekat', 'publik', 'kriminal', 'manfaat', 'kebocora']",serta ndak kriminal diajarin pikir kriminal moga pikir kriminal aman orang dekat publik kriminal manfaat kebocora
"Last, but not Least! 
Mas @ismailfahmi dari Drone Emprit dan Media Kernels Indonesia membahas mengenai ""Criminal Mind: Memanfaatkan Kebocoran Data melalui Big Data""

#KonferensiBigDataIndonesia2022 #KBI2022 #idBigdata #BigData #ngulikbigdata https://t.co/thiLRSGRwb",negative,"last, but not least! 
mas @ismailfahmi dari drone emprit dan media kernels indonesia membahas mengenai ""criminal mind: memanfaatkan kebocoran data melalui big data""

#konferensibigdataindonesia2022 #kbi2022 #idbigdata #bigdata #ngulikbigdata https://t.co/thilrsgrwb",last  but not least  mas dari drone emprit dan media kernels indonesia membahas mengenai  criminal mind  memanfaatkan kebocoran data melalui big data  konferensibigdataindonesia kbi idbigdata bigdata ngulikbigdata ,"['last', 'but', 'not', 'least', 'mas', 'dari', 'drone', 'emprit', 'dan', 'media', 'kernels', 'indonesia', 'membahas', 'mengenai', 'criminal', 'mind', 'memanfaatkan', 'kebocoran', 'data', 'melalui', 'big', 'data', 'konferensibigdataindonesia', 'kbi', 'idbigdata', 'bigdata', 'ngulikbigdata']","['last', 'but', 'not', 'least', 'mas', 'drone', 'emprit', 'media', 'kernels', 'indonesia', 'membahas', 'criminal', 'mind', 'memanfaatkan', 'kebocoran', 'data', 'big', 'data', 'konferensibigdataindonesia', 'kbi', 'idbigdata', 'bigdata', 'ngulikbigdata']","['last', 'but', 'not', 'least', 'mas', 'drone', 'emprit', 'media', 'kernels', 'indonesia', 'bahas', 'criminal', 'mind', 'manfaat', 'bocor', 'data', 'big', 'data', 'konferensibigdataindonesia', 'kbi', 'idbigdata', 'bigdata', 'ngulikbigdata']",last but not least mas drone emprit media kernels indonesia bahas criminal mind manfaat bocor data big data konferensibigdataindonesia kbi idbigdata bigdata ngulikbigdata
"Meresahkan sekali kebocoran data  dan spam di WhatsApp, tiap hari ada aja yg diblokir https://t.co/tyC8tHKDjG",negative,"meresahkan sekali kebocoran data  dan spam di whatsapp, tiap hari ada aja yg diblokir https://t.co/tyc8thkdjg",meresahkan sekali kebocoran data dan spam di whatsapp  tiap hari ada aja yg diblokir ,"['meresahkan', 'sekali', 'kebocoran', 'data', 'dan', 'spam', 'di', 'whatsapp', 'tiap', 'hari', 'ada', 'aja', 'yg', 'diblokir']","['meresahkan', 'kebocoran', 'data', 'spam', 'whatsapp', 'diblokir']","['resah', 'bocor', 'data', 'spam', 'whatsapp', 'blokir']",resah bocor data spam whatsapp blokir
@CNNIndonesia Jadi isu kebocoran data gegara ulah Bjorka selamaini cuma prank bwat keluarin anggaran BSSN?? jadi database kita selamaini ternyata aman2 aja gitu? nggada yg ngehack? ????????????,negative,@cnnindonesia jadi isu kebocoran data gegara ulah bjorka selamaini cuma prank bwat keluarin anggaran bssn?? jadi database kita selamaini ternyata aman2 aja gitu? nggada yg ngehack? ????????????, jadi isu kebocoran data gegara ulah bjorka selamaini cuma prank bwat keluarin anggaran bssn   jadi database kita selamaini ternyata aman aja gitu  nggada yg ngehack              ,"['jadi', 'isu', 'kebocoran', 'data', 'gegara', 'ulah', 'bjorka', 'selamaini', 'cuma', 'prank', 'bwat', 'keluarin', 'anggaran', 'bssn', 'jadi', 'database', 'kita', 'selamaini', 'ternyata', 'aman', 'aja', 'gitu', 'nggada', 'yg', 'ngehack']","['isu', 'kebocoran', 'data', 'gegara', 'ulah', 'bjorka', 'selamaini', 'prank', 'bwat', 'keluarin', 'anggaran', 'bssn', 'database', 'selamaini', 'aman', 'gitu', 'nggada', 'ngehack']","['isu', 'bocor', 'data', 'gegara', 'ulah', 'bjorka', 'selamaini', 'prank', 'bwat', 'keluarin', 'anggar', 'bssn', 'database', 'selamaini', 'aman', 'gitu', 'nggada', 'ngehack']",isu bocor data gegara ulah bjorka selamaini prank bwat keluarin anggar bssn database selamaini aman gitu nggada ngehack
@karirfess karena kebocoran data yg sering terjadi dimana mana kack,negative,@karirfess karena kebocoran data yg sering terjadi dimana mana kack, karena kebocoran data yg sering terjadi dimana mana kack,"['karena', 'kebocoran', 'data', 'yg', 'sering', 'terjadi', 'dimana', 'mana', 'kack']","['kebocoran', 'data', 'dimana', 'kack']","['bocor', 'data', 'mana', 'kack']",bocor data mana kack
"Pertanyaannya, e-KTP aja belum bisa dimanfaatkan sebagaimana ""elektronik"" kok malah bikin proyek baru KTP Digital? Gak takut kebocoran data lagi? Apa urgensinya? Apa roadmap kedepannya dengan adanya KTP Digital? Apakah e-KTP tidak bisa menyelesaikan masalah seperti KTP Digital?",negative,"pertanyaannya, e-ktp aja belum bisa dimanfaatkan sebagaimana ""elektronik"" kok malah bikin proyek baru ktp digital? gak takut kebocoran data lagi? apa urgensinya? apa roadmap kedepannya dengan adanya ktp digital? apakah e-ktp tidak bisa menyelesaikan masalah seperti ktp digital?",pertanyaannya  e ktp aja belum bisa dimanfaatkan sebagaimana  elektronik  kok malah bikin proyek baru ktp digital  gak takut kebocoran data lagi  apa urgensinya  apa roadmap kedepannya dengan adanya ktp digital  apakah e ktp tidak bisa menyelesaikan masalah seperti ktp digital ,"['pertanyaannya', 'e', 'ktp', 'aja', 'belum', 'bisa', 'dimanfaatkan', 'sebagaimana', 'elektronik', 'kok', 'malah', 'bikin', 'proyek', 'baru', 'ktp', 'digital', 'gak', 'takut', 'kebocoran', 'data', 'lagi', 'apa', 'urgensinya', 'apa', 'roadmap', 'kedepannya', 'dengan', 'adanya', 'ktp', 'digital', 'apakah', 'e', 'ktp', 'tidak', 'bisa', 'menyelesaikan', 'masalah', 'seperti', 'ktp', 'digital']","['pertanyaannya', 'e', 'ktp', 'dimanfaatkan', 'elektronik', 'proyek', 'ktp', 'digital', 'takut', 'kebocoran', 'data', 'urgensinya', 'roadmap', 'kedepannya', 'ktp', 'digital', 'e', 'ktp', 'menyelesaikan', 'ktp', 'digital']","['tanya', 'e', 'ktp', 'manfaat', 'elektronik', 'proyek', 'ktp', 'digital', 'takut', 'bocor', 'data', 'urgensi', 'roadmap', 'depan', 'ktp', 'digital', 'e', 'ktp', 'selesai', 'ktp', 'digital']",tanya e ktp manfaat elektronik proyek ktp digital takut bocor data urgensi roadmap depan ktp digital e ktp selesai ktp digital
Kebocoran data is real bosku https://t.co/IDUu2APiym,negative,kebocoran data is real bosku https://t.co/iduu2apiym,kebocoran data is real bosku ,"['kebocoran', 'data', 'is', 'real', 'bosku']","['kebocoran', 'data', 'is', 'real', 'bosku']","['bocor', 'data', 'is', 'real', 'bos']",bocor data is real bos
"Jangan mudah terprovokasi oleh isu kebocoran data pribadi, bersikaplah tenang dan jangan saling menyalahkan. https://t.co/f2bUJSzmys",negative,"jangan mudah terprovokasi oleh isu kebocoran data pribadi, bersikaplah tenang dan jangan saling menyalahkan. https://t.co/f2bujszmys",jangan mudah terprovokasi oleh isu kebocoran data pribadi  bersikaplah tenang dan jangan saling menyalahkan  ,"['jangan', 'mudah', 'terprovokasi', 'oleh', 'isu', 'kebocoran', 'data', 'pribadi', 'bersikaplah', 'tenang', 'dan', 'jangan', 'saling', 'menyalahkan']","['mudah', 'terprovokasi', 'isu', 'kebocoran', 'data', 'pribadi', 'bersikaplah', 'tenang', 'menyalahkan']","['mudah', 'provokasi', 'isu', 'bocor', 'data', 'pribadi', 'sikap', 'tenang', 'salah']",mudah provokasi isu bocor data pribadi sikap tenang salah
"Netizen tertipu oleh permainan rezim, issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran, berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran, rupanya ini dilakukan sebagai trik untuk menaikkan anggaran",negative,"netizen tertipu oleh permainan rezim, issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran, berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran, rupanya ini dilakukan sebagai trik untuk menaikkan anggaran",netizen tertipu oleh permainan rezim  issue bejorka dimunculkan ternyata untuk mengeluarkan dan menaikan anggaran  berawal dari kominfo yg mengakui ada kebocoran data hingga milyaran  rupanya ini dilakukan sebagai trik untuk menaikkan anggaran,"['netizen', 'tertipu', 'oleh', 'permainan', 'rezim', 'issue', 'bejorka', 'dimunculkan', 'ternyata', 'untuk', 'mengeluarkan', 'dan', 'menaikan', 'anggaran', 'berawal', 'dari', 'kominfo', 'yg', 'mengakui', 'ada', 'kebocoran', 'data', 'hingga', 'milyaran', 'rupanya', 'ini', 'dilakukan', 'sebagai', 'trik', 'untuk', 'menaikkan', 'anggaran']","['netizen', 'tertipu', 'permainan', 'rezim', 'issue', 'bejorka', 'dimunculkan', 'mengeluarkan', 'menaikan', 'anggaran', 'kominfo', 'mengakui', 'kebocoran', 'data', 'milyaran', 'trik', 'menaikkan', 'anggaran']","['netizen', 'tipu', 'main', 'rezim', 'issue', 'bejorka', 'muncul', 'keluar', 'naik', 'anggar', 'kominfo', 'aku', 'bocor', 'data', 'milyaran', 'trik', 'naik', 'anggar']",netizen tipu main rezim issue bejorka muncul keluar naik anggar kominfo aku bocor data milyaran trik naik anggar
@CNNIndonesia BPKB elektronik....trus kebocoran data...trus dipake ngutang orang????,negative,@cnnindonesia bpkb elektronik....trus kebocoran data...trus dipake ngutang orang????, bpkb elektronik    trus kebocoran data   trus dipake ngutang orang    ,"['bpkb', 'elektronik', 'trus', 'kebocoran', 'data', 'trus', 'dipake', 'ngutang', 'orang']","['bpkb', 'elektronik', 'trus', 'kebocoran', 'data', 'trus', 'dipake', 'ngutang', 'orang']","['bpkb', 'elektronik', 'trus', 'bocor', 'data', 'trus', 'dipake', 'ngutang', 'orang']",bpkb elektronik trus bocor data trus dipake ngutang orang
"Bgmn tidak mau ada kebocoran data,kalau urus apa apa masih pakai fotocopy Dokumen pribadi dimana disitu ada Nik, No KK dll. Kalau langsung dibakar atau Dirajang tak masalah ,repotnya kalau dikiloin, dijual buat bungkus .",negative,"bgmn tidak mau ada kebocoran data,kalau urus apa apa masih pakai fotocopy dokumen pribadi dimana disitu ada nik, no kk dll. kalau langsung dibakar atau dirajang tak masalah ,repotnya kalau dikiloin, dijual buat bungkus .",bgmn tidak mau ada kebocoran data kalau urus apa apa masih pakai fotocopy dokumen pribadi dimana disitu ada nik  no kk dll  kalau langsung dibakar atau dirajang tak masalah  repotnya kalau dikiloin  dijual buat bungkus  ,"['bgmn', 'tidak', 'mau', 'ada', 'kebocoran', 'data', 'kalau', 'urus', 'apa', 'apa', 'masih', 'pakai', 'fotocopy', 'dokumen', 'pribadi', 'dimana', 'disitu', 'ada', 'nik', 'no', 'kk', 'dll', 'kalau', 'langsung', 'dibakar', 'atau', 'dirajang', 'tak', 'masalah', 'repotnya', 'kalau', 'dikiloin', 'dijual', 'buat', 'bungkus']","['bgmn', 'kebocoran', 'data', 'urus', 'pakai', 'fotocopy', 'dokumen', 'pribadi', 'dimana', 'disitu', 'nik', 'no', 'kk', 'dll', 'langsung', 'dibakar', 'dirajang', 'repotnya', 'dikiloin', 'dijual', 'bungkus']","['bgmn', 'bocor', 'data', 'urus', 'pakai', 'fotocopy', 'dokumen', 'pribadi', 'mana', 'situ', 'nik', 'no', 'kk', 'dll', 'langsung', 'bakar', 'rajang', 'repot', 'dikiloin', 'jual', 'bungkus']",bgmn bocor data urus pakai fotocopy dokumen pribadi mana situ nik no kk dll langsung bakar rajang repot dikiloin jual bungkus
"Gini ya. Buat siapapun yang merasa kebocoran data itu biasa, dan dalam UU PDP disebut data pribadi UMUM... Intinya kebocoran data itu BERHAYA! tolong pejabat, mentri, yang GA NGERTI JANGAN SOK NGERTI!. Ponakan saya, baru baru ini tiba tiba ada transaksi dari luar negeri",negative,"gini ya. buat siapapun yang merasa kebocoran data itu biasa, dan dalam uu pdp disebut data pribadi umum... intinya kebocoran data itu berhaya! tolong pejabat, mentri, yang ga ngerti jangan sok ngerti!. ponakan saya, baru baru ini tiba tiba ada transaksi dari luar negeri",gini ya  buat siapapun yang merasa kebocoran data itu biasa  dan dalam uu pdp disebut data pribadi umum    intinya kebocoran data itu berhaya  tolong pejabat  mentri  yang ga ngerti jangan sok ngerti   ponakan saya  baru baru ini tiba tiba ada transaksi dari luar negeri,"['gini', 'ya', 'buat', 'siapapun', 'yang', 'merasa', 'kebocoran', 'data', 'itu', 'biasa', 'dan', 'dalam', 'uu', 'pdp', 'disebut', 'data', 'pribadi', 'umum', 'intinya', 'kebocoran', 'data', 'itu', 'berhaya', 'tolong', 'pejabat', 'mentri', 'yang', 'ga', 'ngerti', 'jangan', 'sok', 'ngerti', 'ponakan', 'saya', 'baru', 'baru', 'ini', 'tiba', 'tiba', 'ada', 'transaksi', 'dari', 'luar', 'negeri']","['gini', 'kebocoran', 'data', 'uu', 'pdp', 'data', 'pribadi', 'intinya', 'kebocoran', 'data', 'berhaya', 'tolong', 'pejabat', 'mentri', 'ngerti', 'sok', 'ngerti', 'ponakan', 'transaksi', 'negeri']","['gin', 'bocor', 'data', 'uu', 'pdp', 'data', 'pribadi', 'inti', 'bocor', 'data', 'berhaya', 'tolong', 'jabat', 'tri', 'ngerti', 'sok', 'ngerti', 'ponakan', 'transaksi', 'negeri']",gin bocor data uu pdp data pribadi inti bocor data berhaya tolong jabat tri ngerti sok ngerti ponakan transaksi negeri
Atau atleast kebocoran data bakal ditanggapi sebagai isu yang serius dan perlu ditangani secepatnya sebaik mungkin.,negative,atau atleast kebocoran data bakal ditanggapi sebagai isu yang serius dan perlu ditangani secepatnya sebaik mungkin.,atau atleast kebocoran data bakal ditanggapi sebagai isu yang serius dan perlu ditangani secepatnya sebaik mungkin ,"['atau', 'atleast', 'kebocoran', 'data', 'bakal', 'ditanggapi', 'sebagai', 'isu', 'yang', 'serius', 'dan', 'perlu', 'ditangani', 'secepatnya', 'sebaik', 'mungkin']","['atleast', 'kebocoran', 'data', 'ditanggapi', 'isu', 'serius', 'ditangani', 'secepatnya']","['atleast', 'bocor', 'data', 'tanggap', 'isu', 'serius', 'tangan', 'cepat']",atleast bocor data tanggap isu serius tangan cepat
@PresidenKopi Masih percaya kebocoran data karena di hack?,negative,@presidenkopi masih percaya kebocoran data karena di hack?, masih percaya kebocoran data karena di hack ,"['masih', 'percaya', 'kebocoran', 'data', 'karena', 'di', 'hack']","['percaya', 'kebocoran', 'data', 'hack']","['percaya', 'bocor', 'data', 'hack']",percaya bocor data hack
"@remotivi Jadi lupa kebocoran data pribadi
Jadi lupa kasus sambo
Jadi lupa BBM naik",negative,"@remotivi jadi lupa kebocoran data pribadi
jadi lupa kasus sambo
jadi lupa bbm naik", jadi lupa kebocoran data pribadi jadi lupa kasus sambo jadi lupa bbm naik,"['jadi', 'lupa', 'kebocoran', 'data', 'pribadi', 'jadi', 'lupa', 'kasus', 'sambo', 'jadi', 'lupa', 'bbm', 'naik']","['lupa', 'kebocoran', 'data', 'pribadi', 'lupa', 'sambo', 'lupa', 'bbm']","['lupa', 'bocor', 'data', 'pribadi', 'lupa', 'sambo', 'lupa', 'bbm']",lupa bocor data pribadi lupa sambo lupa bbm
oh jd mecima ikut andil di kasus kebocoran data pribadi https://t.co/wwtiYmt8J7,negative,oh jd mecima ikut andil di kasus kebocoran data pribadi https://t.co/wwtiymt8j7,oh jd mecima ikut andil di kasus kebocoran data pribadi ,"['oh', 'jd', 'mecima', 'ikut', 'andil', 'di', 'kasus', 'kebocoran', 'data', 'pribadi']","['oh', 'mecima', 'andil', 'kebocoran', 'data', 'pribadi']","['oh', 'mecima', 'andil', 'bocor', 'data', 'pribadi']",oh mecima andil bocor data pribadi
